uploads,subscribers,video_views,social_blade_rank,subscriber_rank,video_views_rank,country_rank,channel_type_rank,subscribers_last_30_days,video_views_last_30_days,percentage_subscribed_last_30_days,percentage_video_views_last_30_days,average_views_per_video,average_views_per_subscriber,channel_age,average_views_per_day
2222.0,6550.0,1977381.0,806249.0,8739.0,2315598.0,40.0,2926.0,20.0,14672.0,0.0030534351145038168,0.007419915534740144,889.9104410441045,301.8902290076336,,
68.0,3550.0,3241682.0,807482.0,10801.0,1756434.0,67.0,4503.0,,7291.0,,0.002249141032340618,47671.794117647056,913.1498591549296,,
24.0,399.0,206326.0,808626.0,13887.0,3823310.0,253.0,5337.0,8.0,6045.0,0.020050125313283207,0.029298294931322275,8596.916666666666,517.1077694235589,,
100.0,2590.0,3990734.0,808465.0,11707.0,1543024.0,77.0,4163.0,10.0,6400.0,0.003861003861003861,0.001603715005810961,39907.34,1540.8239382239383,,
1055.0,119.0,52395.0,807385.0,14168.0,3976811.0,387.0,,17.0,7456.0,0.14285714285714285,0.14230365492890543,49.66350710900474,440.29411764705884,,
19.0,941.0,520391.0,808507.0,13347.0,3509488.0,142.0,4797.0,11.0,6375.0,0.011689691817215728,0.012250404023128762,27389.0,553.01912858661,,
186.0,1700.0,1146262.0,808980.0,12595.0,2911918.0,102.0,2609.0,10.0,6112.0,0.0058823529411764705,0.005332114298476264,6162.698924731183,674.2717647058823,,
9.0,1350.0,328476.0,809406.0,12935.0,3700976.0,114.0,,20.0,5286.0,0.014814814814814815,0.016092499908669126,36497.333333333336,243.31555555555556,,
166.0,879.0,357626.0,808521.0,13409.0,3672088.0,152.0,4382.0,5.0,6528.0,0.005688282138794084,0.018253706386001017,2154.373493975904,406.85551763367465,,
23.0,322.0,102097.0,811578.0,13963.0,3926855.0,283.0,5413.0,8.0,2806.0,0.024844720496894408,0.02748366749267853,4439.0,317.07142857142856,,
18.0,777.0,665219.0,809453.0,13508.0,3365202.0,164.0,,2.0,5528.0,0.002574002574002574,0.008310045263289233,36956.61111111111,856.1377091377092,,
164.0,786.0,792609.0,809598.0,13501.0,3239693.0,163.0,4951.0,10.0,5146.0,0.01272264631043257,0.006492482421976031,4832.981707317073,1008.4083969465648,,
180.0,714.0,49079.0,810707.0,13572.0,3979969.0,176.0,3527.0,19.0,3629.0,0.02661064425770308,0.07394201185843233,272.6611111111111,68.73809523809524,,
